Statistic Label,Area of Residence,ICD 10 Diagnostic Group,Year,UNIT,VALUE
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Louth,Diseases of the circulatory system,2014,No. per 1000 Pop.,1.68
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Louth,Diseases of the circulatory system,2015,No. per 1000 Pop.,2.14
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Louth,Diseases of the circulatory system,2016,No. per 1000 Pop.,1.73
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Louth,Diseases of the circulatory system,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Louth,Diseases of the respiratory system,2007,No. per 1000 Pop.,0.8
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Louth,Diseases of the respiratory system,2008,No. per 1000 Pop.,0.86
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Louth,Diseases of the respiratory system,2009,No. per 1000 Pop.,1.02
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Louth,Diseases of the respiratory system,2010,No. per 1000 Pop.,0.73
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Louth,Diseases of the respiratory system,2011,No. per 1000 Pop.,0.77
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Louth,Diseases of the respiratory system,2012,No. per 1000 Pop.,0.89
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Louth,Diseases of the respiratory system,2013,No. per 1000 Pop.,0.77
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Louth,Diseases of the respiratory system,2014,No. per 1000 Pop.,0.81
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Louth,Diseases of the respiratory system,2015,No. per 1000 Pop.,0.87
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Louth,Diseases of the respiratory system,2016,No. per 1000 Pop.,1.04
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Louth,Diseases of the respiratory system,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Louth,External causes of injury and poisoning,2007,No. per 1000 Pop.,0.56
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Louth,External causes of injury and poisoning,2008,No. per 1000 Pop.,0.44
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Louth,External causes of injury and poisoning,2009,No. per 1000 Pop.,0.48
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Louth,External causes of injury and poisoning,2010,No. per 1000 Pop.,0.44
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Louth,External causes of injury and poisoning,2011,No. per 1000 Pop.,0.48
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Louth,External causes of injury and poisoning,2012,No. per 1000 Pop.,0.43
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Louth,External causes of injury and poisoning,2013,No. per 1000 Pop.,0.41
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Louth,External causes of injury and poisoning,2014,No. per 1000 Pop.,0.38
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Louth,External causes of injury and poisoning,2015,No. per 1000 Pop.,0.29
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Louth,External causes of injury and poisoning,2016,No. per 1000 Pop.,0.24
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Louth,External causes of injury and poisoning,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Meath,Neoplasms,2007,No. per 1000 Pop.,1.88
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Meath,Neoplasms,2008,No. per 1000 Pop.,1.45
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Meath,Neoplasms,2009,No. per 1000 Pop.,1.71
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Meath,Neoplasms,2010,No. per 1000 Pop.,1.66
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Meath,Neoplasms,2011,No. per 1000 Pop.,2.01
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Meath,Neoplasms,2012,No. per 1000 Pop.,1.79
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Meath,Neoplasms,2013,No. per 1000 Pop.,1.72
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Meath,Neoplasms,2014,No. per 1000 Pop.,1.89
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Meath,Neoplasms,2015,No. per 1000 Pop.,1.9
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Meath,Neoplasms,2016,No. per 1000 Pop.,1.88
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Meath,Neoplasms,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Meath,Diseases of the circulatory system,2007,No. per 1000 Pop.,2.26
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Meath,Diseases of the circulatory system,2008,No. per 1000 Pop.,1.59
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Meath,Diseases of the circulatory system,2009,No. per 1000 Pop.,2.08
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Meath,Diseases of the circulatory system,2010,No. per 1000 Pop.,1.71
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Meath,Diseases of the circulatory system,2011,No. per 1000 Pop.,1.85
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Meath,Diseases of the circulatory system,2012,No. per 1000 Pop.,2.1
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Meath,Diseases of the circulatory system,2013,No. per 1000 Pop.,1.93
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Meath,Diseases of the circulatory system,2014,No. per 1000 Pop.,1.71
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Meath,Diseases of the circulatory system,2015,No. per 1000 Pop.,1.89
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Meath,Diseases of the circulatory system,2016,No. per 1000 Pop.,1.68
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Meath,Diseases of the circulatory system,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Meath,Diseases of the respiratory system,2007,No. per 1000 Pop.,0.86
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Meath,Diseases of the respiratory system,2008,No. per 1000 Pop.,0.54
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Meath,Diseases of the respiratory system,2009,No. per 1000 Pop.,0.85
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Meath,Diseases of the respiratory system,2010,No. per 1000 Pop.,0.87
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Meath,Diseases of the respiratory system,2011,No. per 1000 Pop.,0.62
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Meath,Diseases of the respiratory system,2012,No. per 1000 Pop.,0.73
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Meath,Diseases of the respiratory system,2013,No. per 1000 Pop.,0.85
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Meath,Diseases of the respiratory system,2014,No. per 1000 Pop.,0.81
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Meath,Diseases of the respiratory system,2015,No. per 1000 Pop.,0.87
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Meath,Diseases of the respiratory system,2016,No. per 1000 Pop.,0.83
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Meath,Diseases of the respiratory system,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Meath,External causes of injury and poisoning,2007,No. per 1000 Pop.,0.31
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Meath,External causes of injury and poisoning,2008,No. per 1000 Pop.,0.38
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Meath,External causes of injury and poisoning,2009,No. per 1000 Pop.,0.36
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Meath,External causes of injury and poisoning,2010,No. per 1000 Pop.,0.24
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Meath,External causes of injury and poisoning,2011,No. per 1000 Pop.,0.23
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Meath,External causes of injury and poisoning,2012,No. per 1000 Pop.,0.33
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Meath,External causes of injury and poisoning,2013,No. per 1000 Pop.,0.26
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Meath,External causes of injury and poisoning,2014,No. per 1000 Pop.,0.27
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Meath,External causes of injury and poisoning,2015,No. per 1000 Pop.,0.3
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Meath,External causes of injury and poisoning,2016,No. per 1000 Pop.,0.22
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Meath,External causes of injury and poisoning,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Offaly,Neoplasms,2007,No. per 1000 Pop.,2.05
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Offaly,Neoplasms,2008,No. per 1000 Pop.,1.77
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Offaly,Neoplasms,2009,No. per 1000 Pop.,1.94
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Offaly,Neoplasms,2010,No. per 1000 Pop.,1.33
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Offaly,Neoplasms,2011,No. per 1000 Pop.,1.72
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Offaly,Neoplasms,2012,No. per 1000 Pop.,1.87
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Offaly,Neoplasms,2013,No. per 1000 Pop.,1.63
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Offaly,Neoplasms,2014,No. per 1000 Pop.,1.87
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Offaly,Neoplasms,2015,No. per 1000 Pop.,1.95
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Offaly,Neoplasms,2016,No. per 1000 Pop.,1.83
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Offaly,Neoplasms,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Offaly,Diseases of the circulatory system,2007,No. per 1000 Pop.,2.25
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Offaly,Diseases of the circulatory system,2008,No. per 1000 Pop.,2.42
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Offaly,Diseases of the circulatory system,2009,No. per 1000 Pop.,2.2
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Offaly,Diseases of the circulatory system,2010,No. per 1000 Pop.,2.08
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Offaly,Diseases of the circulatory system,2011,No. per 1000 Pop.,2.15
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Offaly,Diseases of the circulatory system,2012,No. per 1000 Pop.,1.91
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Offaly,Diseases of the circulatory system,2013,No. per 1000 Pop.,2.21
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Offaly,Diseases of the circulatory system,2014,No. per 1000 Pop.,1.95
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Offaly,Diseases of the circulatory system,2015,No. per 1000 Pop.,1.95
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Offaly,Diseases of the circulatory system,2016,No. per 1000 Pop.,1.86
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Offaly,Diseases of the circulatory system,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Offaly,Diseases of the respiratory system,2007,No. per 1000 Pop.,0.77
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Offaly,Diseases of the respiratory system,2008,No. per 1000 Pop.,0.92
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Offaly,Diseases of the respiratory system,2009,No. per 1000 Pop.,0.89
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Offaly,Diseases of the respiratory system,2010,No. per 1000 Pop.,0.85
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Offaly,Diseases of the respiratory system,2011,No. per 1000 Pop.,0.8
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Offaly,Diseases of the respiratory system,2012,No. per 1000 Pop.,0.71
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Offaly,Diseases of the respiratory system,2013,No. per 1000 Pop.,0.97
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Offaly,Diseases of the respiratory system,2014,No. per 1000 Pop.,0.79
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Offaly,Diseases of the respiratory system,2015,No. per 1000 Pop.,0.77
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Offaly,Diseases of the respiratory system,2016,No. per 1000 Pop.,0.87
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Offaly,Diseases of the respiratory system,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Offaly,External causes of injury and poisoning,2007,No. per 1000 Pop.,0.33
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Offaly,External causes of injury and poisoning,2008,No. per 1000 Pop.,0.41
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Offaly,External causes of injury and poisoning,2009,No. per 1000 Pop.,0.37
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Offaly,External causes of injury and poisoning,2010,No. per 1000 Pop.,0.3
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Offaly,External causes of injury and poisoning,2011,No. per 1000 Pop.,0.32
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Offaly,External causes of injury and poisoning,2012,No. per 1000 Pop.,0.35
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Offaly,External causes of injury and poisoning,2013,No. per 1000 Pop.,0.28
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Offaly,External causes of injury and poisoning,2014,No. per 1000 Pop.,0.27
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Offaly,External causes of injury and poisoning,2015,No. per 1000 Pop.,0.3
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Offaly,External causes of injury and poisoning,2016,No. per 1000 Pop.,0.33
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Offaly,External causes of injury and poisoning,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Westmeath,Neoplasms,2007,No. per 1000 Pop.,1.86
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Westmeath,Neoplasms,2008,No. per 1000 Pop.,1.87
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Westmeath,Neoplasms,2009,No. per 1000 Pop.,1.77
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Westmeath,Neoplasms,2010,No. per 1000 Pop.,1.79
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Westmeath,Neoplasms,2011,No. per 1000 Pop.,2.13
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Westmeath,Neoplasms,2012,No. per 1000 Pop.,1.99
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Westmeath,Neoplasms,2013,No. per 1000 Pop.,1.89
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Westmeath,Neoplasms,2014,No. per 1000 Pop.,2.05
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Westmeath,Neoplasms,2015,No. per 1000 Pop.,2.07
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Westmeath,Neoplasms,2016,No. per 1000 Pop.,2.02
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Westmeath,Neoplasms,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Westmeath,Diseases of the circulatory system,2007,No. per 1000 Pop.,2.35
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Westmeath,Diseases of the circulatory system,2008,No. per 1000 Pop.,2.48
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Westmeath,Diseases of the circulatory system,2009,No. per 1000 Pop.,2.23
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Westmeath,Diseases of the circulatory system,2010,No. per 1000 Pop.,2.27
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Westmeath,Diseases of the circulatory system,2011,No. per 1000 Pop.,2.1
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Westmeath,Diseases of the circulatory system,2012,No. per 1000 Pop.,2.51
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Westmeath,Diseases of the circulatory system,2013,No. per 1000 Pop.,2.48
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Westmeath,Diseases of the circulatory system,2014,No. per 1000 Pop.,2.39
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Westmeath,Diseases of the circulatory system,2015,No. per 1000 Pop.,1.86
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Westmeath,Diseases of the circulatory system,2016,No. per 1000 Pop.,2.14
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Westmeath,Diseases of the circulatory system,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Westmeath,Diseases of the respiratory system,2007,No. per 1000 Pop.,0.71
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Westmeath,Diseases of the respiratory system,2008,No. per 1000 Pop.,0.8
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Westmeath,Diseases of the respiratory system,2009,No. per 1000 Pop.,0.81
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Westmeath,Diseases of the respiratory system,2010,No. per 1000 Pop.,0.71
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Westmeath,Diseases of the respiratory system,2011,No. per 1000 Pop.,0.78
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Westmeath,Diseases of the respiratory system,2012,No. per 1000 Pop.,0.8
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Westmeath,Diseases of the respiratory system,2013,No. per 1000 Pop.,0.92
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Westmeath,Diseases of the respiratory system,2014,No. per 1000 Pop.,0.87
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Westmeath,Diseases of the respiratory system,2015,No. per 1000 Pop.,0.87
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Westmeath,Diseases of the respiratory system,2016,No. per 1000 Pop.,0.93
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Westmeath,Diseases of the respiratory system,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Westmeath,External causes of injury and poisoning,2007,No. per 1000 Pop.,0.47
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Westmeath,External causes of injury and poisoning,2008,No. per 1000 Pop.,0.34
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Westmeath,External causes of injury and poisoning,2009,No. per 1000 Pop.,0.39
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Westmeath,External causes of injury and poisoning,2010,No. per 1000 Pop.,0.42
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Westmeath,External causes of injury and poisoning,2011,No. per 1000 Pop.,0.34
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Westmeath,External causes of injury and poisoning,2012,No. per 1000 Pop.,0.26
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Westmeath,External causes of injury and poisoning,2013,No. per 1000 Pop.,0.36
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Westmeath,External causes of injury and poisoning,2014,No. per 1000 Pop.,0.33
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Westmeath,External causes of injury and poisoning,2015,No. per 1000 Pop.,0.19
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Westmeath,External causes of injury and poisoning,2016,No. per 1000 Pop.,0.36
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Westmeath,External causes of injury and poisoning,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wexford,Neoplasms,2007,No. per 1000 Pop.,1.79
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wexford,Neoplasms,2008,No. per 1000 Pop.,2.08
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wexford,Neoplasms,2009,No. per 1000 Pop.,2.12
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wexford,Neoplasms,2010,No. per 1000 Pop.,1.95
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wexford,Neoplasms,2011,No. per 1000 Pop.,1.94
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wexford,Neoplasms,2012,No. per 1000 Pop.,1.86
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wexford,Neoplasms,2013,No. per 1000 Pop.,1.95
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wexford,Neoplasms,2014,No. per 1000 Pop.,2.28
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wexford,Neoplasms,2015,No. per 1000 Pop.,1.91
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wexford,Neoplasms,2016,No. per 1000 Pop.,2.03
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wexford,Neoplasms,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wexford,Diseases of the circulatory system,2007,No. per 1000 Pop.,2.35
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wexford,Diseases of the circulatory system,2008,No. per 1000 Pop.,2.37
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wexford,Diseases of the circulatory system,2009,No. per 1000 Pop.,2.29
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wexford,Diseases of the circulatory system,2010,No. per 1000 Pop.,2.35
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wexford,Diseases of the circulatory system,2011,No. per 1000 Pop.,2.11
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wexford,Diseases of the circulatory system,2012,No. per 1000 Pop.,2.14
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wexford,Diseases of the circulatory system,2013,No. per 1000 Pop.,2.25
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wexford,Diseases of the circulatory system,2014,No. per 1000 Pop.,2.03
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wexford,Diseases of the circulatory system,2015,No. per 1000 Pop.,2.04
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wexford,Diseases of the circulatory system,2016,No. per 1000 Pop.,2.29
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wexford,Diseases of the circulatory system,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wexford,Diseases of the respiratory system,2007,No. per 1000 Pop.,0.75
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wexford,Diseases of the respiratory system,2008,No. per 1000 Pop.,0.76
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wexford,Diseases of the respiratory system,2009,No. per 1000 Pop.,0.94
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wexford,Diseases of the respiratory system,2010,No. per 1000 Pop.,0.88
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wexford,Diseases of the respiratory system,2011,No. per 1000 Pop.,0.85
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wexford,Diseases of the respiratory system,2012,No. per 1000 Pop.,0.8
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wexford,Diseases of the respiratory system,2013,No. per 1000 Pop.,0.73
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wexford,Diseases of the respiratory system,2014,No. per 1000 Pop.,0.88
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wexford,Diseases of the respiratory system,2015,No. per 1000 Pop.,0.82
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wexford,Diseases of the respiratory system,2016,No. per 1000 Pop.,0.85
